/Users/anandm/tansive/tansive-internal/internal/common/uuid/uuid.go:55:29: [CWE-190] integer overflow conversion uint64 -> int64 (Rule:G115, Severity:HIGH, Confidence:MEDIUM)
/Users/anandm/tansive/tansive-internal/internal/common/ids.go:42:12: [CWE-190] integer overflow conversion uint64 -> int (Rule:G115, Severity:HIGH, Confidence:MEDIUM)
/Users/anandm/tansive/tansive-internal/internal/common/ids.go:42:23: [CWE-190] integer overflow conversion int -> uint64 (Rule:G115, Severity:HIGH, Confidence:MEDIUM)
/Users/anandm/tansive/tansive-internal/internal/catalogsrv/catcommon/argon2id.go:89:27: [CWE-1204] Use of hardcoded IV/nonce for encryption by passing hardcoded slice/array (Rule:G407, Severity:HIGH, Confidence:HIGH)
/Users/anandm/tansive/tansive-internal/internal/tangent/runners/stdiorunner/runner.go:119:9: [CWE-78] Subprocess launched with variable (Rule:G204, Severity:MEDIUM, Confidence:HIGH)
/Users/anandm/tansive/tansive-internal/internal/cli/audit.go:201:11: [CWE-78] Subprocess launched with variable (Rule:G204, Severity:MEDIUM, Confidence:HIGH)
/Users/anandm/tansive/tansive-internal/internal/cli/audit.go:199:11: [CWE-78] Subprocess launched with variable (Rule:G204, Severity:MEDIUM, Confidence:HIGH)
/Users/anandm/tansive/tansive-internal/internal/cli/audit.go:197:11: [CWE-78] Subprocess launched with variable (Rule:G204, Severity:MEDIUM, Confidence:HIGH)
/Users/anandm/tansive/tansive-internal/internal/catalogsrv/db/postgresql/schemadirectory.go:420:11: [CWE-89] SQL string concatenation (Rule:G202, Severity:MEDIUM, Confidence:HIGH)
/Users/anandm/tansive/tansive-internal/internal/tangent/session/hashlog/renderhtml.go:115:14: [CWE-22] Potential file inclusion via variable (Rule:G304, Severity:MEDIUM, Confidence:HIGH)
/Users/anandm/tansive/tansive-internal/internal/tangent/session/hashlog/renderhtml.go:29:12: [CWE-22] Potential file inclusion via variable (Rule:G304, Severity:MEDIUM, Confidence:HIGH)
/Users/anandm/tansive/tansive-internal/internal/tangent/session/hashlog/hashlog.go:38:12: [CWE-22] Potential file inclusion via variable (Rule:G304, Severity:MEDIUM, Confidence:HIGH)
/Users/anandm/tansive/tansive-internal/internal/tangent/session/asciinema.go:26:12: [CWE-22] Potential file inclusion via variable (Rule:G304, Severity:MEDIUM, Confidence:HIGH)
/Users/anandm/tansive/tansive-internal/internal/tangent/runners/stdiorunner/tararchive.go:78:13: [CWE-22] Potential file inclusion via variable (Rule:G304, Severity:MEDIUM, Confidence:HIGH)
/Users/anandm/tansive/tansive-internal/internal/tangent/runners/stdiorunner/tararchive.go:15:18: [CWE-22] Potential file inclusion via variable (Rule:G304, Severity:MEDIUM, Confidence:HIGH)
/Users/anandm/tansive/tansive-internal/internal/tangent/config/runtimeconfig.go:179:12: [CWE-22] Potential file inclusion via variable (Rule:G304, Severity:MEDIUM, Confidence:HIGH)
/Users/anandm/tansive/tansive-internal/internal/tangent/config/runtimeconfig.go:83:13: [CWE-22] Potential file inclusion via variable (Rule:G304, Severity:MEDIUM, Confidence:HIGH)
/Users/anandm/tansive/tansive-internal/internal/tangent/config/config.go:155:18: [CWE-22] Potential file inclusion via variable (Rule:G304, Severity:MEDIUM, Confidence:HIGH)
/Users/anandm/tansive/tansive-internal/internal/cli/resource.go:21:15: [CWE-22] Potential file inclusion via variable (Rule:G304, Severity:MEDIUM, Confidence:HIGH)
/Users/anandm/tansive/tansive-internal/internal/cli/put.go:69:19: [CWE-22] Potential file inclusion via variable (Rule:G304, Severity:MEDIUM, Confidence:HIGH)
/Users/anandm/tansive/tansive-internal/internal/cli/multiyaml.go:17:15: [CWE-22] Potential file inclusion via variable (Rule:G304, Severity:MEDIUM, Confidence:HIGH)
/Users/anandm/tansive/tansive-internal/internal/cli/config.go:58:18: [CWE-22] Potential file inclusion via variable (Rule:G304, Severity:MEDIUM, Confidence:HIGH)
/Users/anandm/tansive/tansive-internal/internal/cli/audit.go:52:16: [CWE-22] Potential file inclusion via variable (Rule:G304, Severity:MEDIUM, Confidence:HIGH)
/Users/anandm/tansive/tansive-internal/internal/catalogsrv/session/auditlog.go:114:18: [CWE-22] Potential file inclusion via variable (Rule:G304, Severity:MEDIUM, Confidence:HIGH)
/Users/anandm/tansive/tansive-internal/internal/catalogsrv/session/auditlog.go:80:12: [CWE-22] Potential file inclusion via variable (Rule:G304, Severity:MEDIUM, Confidence:HIGH)
/Users/anandm/tansive/tansive-internal/internal/catalogsrv/session/auditlog.go:61:12: [CWE-22] Potential file inclusion via variable (Rule:G304, Severity:MEDIUM, Confidence:HIGH)
/Users/anandm/tansive/tansive-internal/internal/catalogsrv/config/config.go:288:18: [CWE-22] Potential file inclusion via variable (Rule:G304, Severity:MEDIUM, Confidence:HIGH)
/Users/anandm/tansive/tansive-internal/internal/tangent/session/skillservice/server.go:163:10: [CWE-400] Potential Slowloris Attack because ReadHeaderTimeout is not configured in the http.Server (Rule:G112, Severity:MEDIUM, Confidence:LOW)
/Users/anandm/tansive/tansive-internal/cmd/tansivesrv/main.go:74:10: [CWE-400] Potential Slowloris Attack because ReadHeaderTimeout is not configured in the http.Server (Rule:G112, Severity:MEDIUM, Confidence:LOW)
/Users/anandm/tansive/tansive-internal/cmd/tangent/main.go:62:10: [CWE-400] Potential Slowloris Attack because ReadHeaderTimeout is not configured in the http.Server (Rule:G112, Severity:MEDIUM, Confidence:LOW)
/Users/anandm/tansive/tansive-internal/internal/tangent/session/hashlog/hashlog.go:38:12: [CWE-276] Expect file permissions to be 0600 or less (Rule:G302, Severity:MEDIUM, Confidence:HIGH)
/Users/anandm/tansive/tansive-internal/internal/tangent/runners/stdiorunner/runner.go:106:12: [CWE-276] Expect file permissions to be 0600 or less (Rule:G302, Severity:MEDIUM, Confidence:HIGH)
/Users/anandm/tansive/tansive-internal/internal/catalogsrv/session/auditlog.go:114:18: [CWE-276] Expect file permissions to be 0600 or less (Rule:G302, Severity:MEDIUM, Confidence:HIGH)
/Users/anandm/tansive/tansive-internal/internal/tangent/runners/stdiorunner/runner.go:97:12: [CWE-276] Expect directory permissions to be 0750 or less (Rule:G301, Severity:MEDIUM, Confidence:HIGH)
/Users/anandm/tansive/tansive-internal/internal/tangent/config/runtimeconfig.go:70:13: [CWE-276] Expect directory permissions to be 0750 or less (Rule:G301, Severity:MEDIUM, Confidence:HIGH)
/Users/anandm/tansive/tansive-internal/internal/tangent/config/runtimeconfig.go:50:13: [CWE-276] Expect directory permissions to be 0750 or less (Rule:G301, Severity:MEDIUM, Confidence:HIGH)
/Users/anandm/tansive/tansive-internal/internal/cli/config.go:100:9: [CWE-276] Expect directory permissions to be 0750 or less (Rule:G301, Severity:MEDIUM, Confidence:HIGH)
